State,Est. Cost/Sq Ft/Year
Alabama,$0.85
Arizona,$0.95
Arkansas,$0.75
California,$1.20
Colorado,$1.05
Connecticut,$1.05
Delaware,$1.00
Florida,$1.35
Georgia,$1.00
Idaho,$0.85
Illinois,$0.90
Indiana,$0.85
Iowa,$0.80
Kansas,$0.80
Kentucky,$0.80
Louisiana,$1.20
Maine,$0.95
Maryland,$1.05
Massachusetts,$1.10
Michigan,$0.95
Minnesota,$0.85
Mississippi,$1.10
Missouri,$0.80
Montana,$0.85
Nebraska,$0.75
Nevada,$1.05
New Hampshire,$1.00
New Jersey,$1.15
New Mexico,$0.85
New York,$1.10
North Carolina,$1.05
North Dakota,$0.70
Ohio,$0.85
Oklahoma,$0.80
Oregon,$1.15
Pennsylvania,$1.00
Rhode Island,$1.10
South Carolina,$1.10
South Dakota,$0.75
Tennessee,$0.85
Texas,$1.20
Utah,$0.85
Vermont,$0.95
Virginia,$1.00
Washington,$1.20
West Virginia,$0.85
Wisconsin,$0.80
